name,steamid,team_name,kills,assists,deaths,headshots,hs_%,k/d,kast,avg_damages_per_round,avg_kills_per_round,avg_death_per_round,utility_damage_per_round,health_damage,armor_damage,utility_damage,first_kill,first_death,trade_kill,trade_death,1k,2k,3k,4k,5k,match_checksum,tournament
-1eeR,76561198837117408,Nemiga,19,5,11,6,31,1.727273,90.0,89.75,0.95,0.55,5.8,1795,339,116,2,0,4,2,8,4,1,0,0,a3db0ced7f3d1f07,BLAST Bounty 2025 Season 1
riskyb0b,76561198889240025,Nemiga,23,5,12,12,52,1.916667,80.0,116.199997,1.15,0.6,3.4,2324,311,68,2,3,7,4,5,7,0,1,0,a3db0ced7f3d1f07,BLAST Bounty 2025 Season 1
skullz,76561198118646644,FURIA Esports_1,11,2,16,5,45,0.6875,60.000004,64.849998,0.55,0.8,3.9,1297,212,78,2,2,2,5,9,1,0,0,0,a3db0ced7f3d1f07,BLAST Bounty 2025 Season 1
chelo,76561198067763828,FURIA Esports_1,7,0,17,4,57,0.411765,50.0,56.400002,0.35,0.85,2.6,1128,200,52,1,2,2,3,7,0,0,0,0,a3db0ced7f3d1f07,BLAST Bounty 2025 Season 1
zweih,76561198210626739,Nemiga,14,7,12,9,64,1.166667,75.0,84.699997,0.7,0.6,4.45,1694,324,89,2,1,2,2,8,3,0,0,0,a3db0ced7f3d1f07,BLAST Bounty 2025 Season 1
yuurih,76561198164970560,FURIA Esports_1,16,4,14,9,56,1.142857,70.0,90.650002,0.8,0.7,1.9,1813,236,38,1,2,6,1,7,3,1,0,0,a3db0ced7f3d1f07,BLAST Bounty 2025 Season 1
khaN,76561198951467648,Nemiga,9,10,14,2,22,0.642857,70.0,51.549999,0.45,0.7,3.1,1031,53,62,1,2,0,6,4,1,1,0,0,a3db0ced7f3d1f07,BLAST Bounty 2025 Season 1
Xant3r,76561198839305865,Nemiga,14,0,12,8,57,1.166667,75.0,62.5,0.7,0.6,3.7,1250,168,74,3,4,3,5,7,2,1,0,0,a3db0ced7f3d1f07,BLAST Bounty 2025 Season 1
chelo,76561198067763828,FURIA Esports_1,22,5,10,10,45,2.2,100.0,112.050003,1.1,0.5,7.95,2241,264,159,3,0,0,5,10,3,2,0,0,c05ee6f2c03c0b26,BLAST Bounty 2025 Season 1
FalleN,76561197960690195,FURIA Esports_1,12,6,10,6,50,1.2,85.0,64.800003,0.6,0.5,5.5,1296,98,110,4,1,2,2,4,4,0,0,0,c05ee6f2c03c0b26,BLAST Bounty 2025 Season 1
Xant3r,76561198839305865,Nemiga,7,3,14,4,57,0.5,70.0,61.400002,0.35,0.7,11.5,1228,302,230,1,5,1,1,5,1,0,0,0,c05ee6f2c03c0b26,BLAST Bounty 2025 Season 1
KSCERATO,76561198058500492,FURIA Esports_1,14,5,11,7,50,1.272727,75.0,79.150002,0.7,0.55,5.3,1583,165,106,5,2,0,1,5,3,1,0,0,c05ee6f2c03c0b26,BLAST Bounty 2025 Season 1
khaN,76561198951467648,Nemiga,11,0,15,6,54,0.733333,60.000004,47.799999,0.55,0.75,1.85,956,181,37,0,2,4,2,7,2,0,0,0,c05ee6f2c03c0b26,BLAST Bounty 2025 Season 1
yuurih,76561198164970560,FURIA Esports_1,15,5,9,5,33,1.666667,90.0,83.5,0.75,0.45,6.85,1670,374,137,1,1,2,3,8,4,0,0,0,c05ee6f2c03c0b26,BLAST Bounty 2025 Season 1
zweih,76561198210626739,Nemiga,16,5,16,9,56,1.0,55.0,93.650002,0.8,0.8,1.65,1873,237,33,1,5,4,3,3,1,2,0,1,c05ee6f2c03c0b26,BLAST Bounty 2025 Season 1
-1eeR,76561198837117408,Nemiga,6,2,15,3,50,0.4,55.0,40.700001,0.3,0.75,4.1,814,129,82,0,2,0,2,4,1,0,0,0,c05ee6f2c03c0b26,BLAST Bounty 2025 Season 1
riskyb0b,76561198889240025,Nemiga,9,4,18,5,55,0.5,55.0,51.75,0.45,0.9,9.75,1035,198,195,2,2,3,5,6,0,1,0,0,c05ee6f2c03c0b26,BLAST Bounty 2025 Season 1
skullz,76561198118646644,FURIA Esports_1,14,4,10,7,50,1.4,80.0,78.0,0.7,0.5,2.3,1560,267,46,3,0,6,2,8,0,2,0,0,c05ee6f2c03c0b26,BLAST Bounty 2025 Season 1
HeavyGod,76561198068002993,G2 Esports CS2,18,3,18,8,44,1.0,75.862068,70.448273,0.62069,0.62069,6.655172,2043,413,193,1,1,6,2,16,1,0,0,0,789873d5480b2d86,BLAST Bounty 2025 Season 1
kensizor,76561198382173659,[B8],17,5,23,5,29,0.73913,75.862068,63.310345,0.586207,0.793103,1.482759,1836,277,43,3,3,4,8,10,2,1,0,0,789873d5480b2d86,BLAST Bounty 2025 Season 1
m0NESY,76561198074762801,G2 Esports CS2,21,12,22,9,42,0.954545,89.655174,85.517242,0.724138,0.758621,8.448276,2480,268,245,4,3,2,7,13,2,0,1,0,789873d5480b2d86,BLAST Bounty 2025 Season 1
malbsMd,76561198080703143,G2 Esports CS2,32,5,21,17,53,1.52381,72.413788,100.827583,1.103448,0.724138,3.172414,2924,433,92,6,6,10,3,8,9,2,0,0,789873d5480b2d86,BLAST Bounty 2025 Season 1
huNter,76561198012872053,G2 Esports CS2,17,6,23,10,58,0.73913,72.413788,61.068966,0.586207,0.793103,7.896552,1771,321,229,1,3,5,8,8,3,1,0,0,789873d5480b2d86,BLAST Bounty 2025 Season 1
Snax,76561197982141573,G2 Esports CS2,9,4,22,4,44,0.409091,65.517242,51.310345,0.310345,0.758621,6.827586,1488,231,198,2,2,1,6,9,0,0,0,0,789873d5480b2d86,BLAST Bounty 2025 Season 1
headtr1ck,76561198359519930,[B8],21,4,13,5,23,1.615385,82.758621,69.413795,0.724138,0.448276,2.206897,2013,151,64,1,2,5,2,11,5,0,0,0,789873d5480b2d86,BLAST Bounty 2025 Season 1
alex666,76561198304115519,[B8],23,8,23,10,43,1.0,68.965515,97.620689,0.793103,0.793103,8.551724,2831,596,248,2,3,7,5,10,2,3,0,0,789873d5480b2d86,BLAST Bounty 2025 Season 1
npl,76561198305036904,[B8],24,6,18,16,66,1.333333,79.310349,77.275864,0.827586,0.62069,1.413793,2241,322,41,5,1,7,7,10,4,2,0,0,789873d5480b2d86,BLAST Bounty 2025 Season 1
esenthial,76561199149812353,[B8],20,6,21,18,90,0.952381,79.310349,90.551727,0.689655,0.724138,5.37931,2626,562,156,4,5,5,9,9,4,0,1,0,789873d5480b2d86,BLAST Bounty 2025 Season 1
HeavyGod,76561198068002993,G2 Esports CS2,17,8,7,9,52,2.428571,84.210526,121.684212,0.894737,0.368421,2.473684,2312,205,47,4,1,0,1,2,4,1,1,0,759d1628c3ad98f7,BLAST Bounty 2025 Season 1
kensizor,76561198382173659,[B8],9,2,16,5,55,0.5625,52.63158,55.947369,0.473684,0.842105,1.157895,1063,235,22,2,3,2,2,4,1,1,0,0,759d1628c3ad98f7,BLAST Bounty 2025 Season 1
npl,76561198305036904,[B8],7,3,13,4,57,0.538462,52.63158,48.526318,0.368421,0.684211,0.0,922,176,0,1,3,1,2,5,1,0,0,0,759d1628c3ad98f7,BLAST Bounty 2025 Season 1
Snax,76561197982141573,G2 Esports CS2,11,8,12,6,54,0.916667,73.684212,65.052635,0.578947,0.631579,7.31579,1236,225,139,3,1,1,3,9,1,0,0,0,759d1628c3ad98f7,BLAST Bounty 2025 Season 1
alex666,76561198304115519,[B8],8,2,13,5,62,0.615385,57.894737,52.157894,0.421053,0.684211,10.684211,991,224,203,1,5,1,5,3,1,1,0,0,759d1628c3ad98f7,BLAST Bounty 2025 Season 1
m0NESY,76561198074762801,G2 Esports CS2,19,2,6,13,68,3.166667,89.473686,91.526314,1.0,0.315789,3.052632,1739,220,58,3,0,4,1,5,1,4,0,0,759d1628c3ad98f7,BLAST Bounty 2025 Season 1
huNter,76561198012872053,G2 Esports CS2,15,2,7,8,53,2.142857,78.947372,64.631577,0.789474,0.368421,7.105263,1228,227,135,1,0,3,0,4,2,1,1,0,759d1628c3ad98f7,BLAST Bounty 2025 Season 1
headtr1ck,76561198359519930,[B8],6,1,16,4,66,0.375,57.894737,52.578949,0.315789,0.842105,7.31579,999,267,139,0,1,1,4,4,1,0,0,0,759d1628c3ad98f7,BLAST Bounty 2025 Season 1
malbsMd,76561198080703143,G2 Esports CS2,10,5,12,6,60,0.833333,89.473686,64.789474,0.526316,0.631579,10.526316,1231,234,200,3,3,2,6,8,1,0,0,0,759d1628c3ad98f7,BLAST Bounty 2025 Season 1
esenthial,76561199149812353,[B8],14,4,14,8,57,1.0,63.15789,79.578949,0.736842,0.736842,5.105263,1512,273,97,1,2,8,1,6,1,2,0,0,759d1628c3ad98f7,BLAST Bounty 2025 Season 1
Snax,76561197982141573,[B8],15,8,15,8,53,1.0,80.0,69.519997,0.6,0.6,5.76,1738,170,144,1,0,2,1,8,2,1,0,0,1aa317037186f7a3,BLAST Bounty 2025 Season 1
headtr1ck,76561198359519930,G2 Esports CS2,29,9,19,17,58,1.526316,80.0,116.400002,1.16,0.76,15.4,2910,561,385,1,1,12,3,5,6,4,0,0,1aa317037186f7a3,BLAST Bounty 2025 Season 1
m0NESY,76561198074762801,[B8],27,7,14,8,29,1.928571,80.0,109.440002,1.08,0.56,5.56,2736,152,139,5,2,2,0,8,6,1,1,0,1aa317037186f7a3,BLAST Bounty 2025 Season 1
HeavyGod,76561198068002993,[B8],21,2,18,11,52,1.166667,64.0,74.68,0.84,0.72,1.24,1867,203,31,2,1,7,4,6,4,1,1,0,1aa317037186f7a3,BLAST Bounty 2025 Season 1
alex666,76561198304115519,G2 Esports CS2,13,8,20,7,53,0.65,68.0,56.32,0.52,0.8,3.56,1408,171,89,6,1,2,6,8,1,1,0,0,1aa317037186f7a3,BLAST Bounty 2025 Season 1
malbsMd,76561198080703143,[B8],16,8,21,13,81,0.761905,68.0,74.279999,0.64,0.84,7.72,1857,342,193,5,3,1,7,10,2,1,0,0,1aa317037186f7a3,BLAST Bounty 2025 Season 1
kensizor,76561198382173659,G2 Esports CS2,14,8,19,5,35,0.736842,68.0,70.0,0.56,0.76,1.0,1750,250,25,3,5,0,6,8,3,0,0,0,1aa317037186f7a3,BLAST Bounty 2025 Season 1
npl,76561198305036904,G2 Esports CS2,20,4,19,12,60,1.052632,72.0,82.879997,0.8,0.76,3.24,2072,214,81,1,5,6,4,6,4,2,0,0,1aa317037186f7a3,BLAST Bounty 2025 Season 1
esenthial,76561199149812353,G2 Esports CS2,6,8,20,4,66,0.3,52.0,48.040001,0.24,0.8,9.04,1201,200,226,0,2,1,4,4,1,0,0,0,1aa317037186f7a3,BLAST Bounty 2025 Season 1
huNter,76561198012872053,[B8],17,7,15,9,52,1.133333,80.0,67.839996,0.68,0.6,1.88,1696,333,47,1,5,1,3,7,2,2,0,0,1aa317037186f7a3,BLAST Bounty 2025 Season 1
Twistzz,76561198016255205,Liquid,22,5,12,11,50,1.833333,87.5,97.5,0.916667,0.5,6.166667,2340,278,148,2,1,5,3,9,3,1,1,0,f7c65a6ab75a3a25,BLAST Bounty 2025 Season 1
NertZ,76561198053126645,Liquid,23,5,16,10,43,1.4375,75.0,96.291664,0.958333,0.666667,2.375,2311,232,57,3,4,4,6,6,3,2,0,1,f7c65a6ab75a3a25,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,9,3,17,6,66,0.529412,58.333332,42.208332,0.375,0.708333,6.041667,1013,220,145,4,1,1,1,7,1,0,0,0,f7c65a6ab75a3a25,BLAST Bounty 2025 Season 1
xfl0ud,76561198178209109,HEROIC,11,3,19,7,63,0.578947,58.333332,62.458332,0.458333,0.791667,2.375,1499,253,57,0,4,2,4,5,1,0,1,0,f7c65a6ab75a3a25,BLAST Bounty 2025 Season 1
jks,76561197977105184,Liquid,11,5,16,4,36,0.6875,62.5,52.416668,0.458333,0.666667,6.75,1258,267,162,3,4,1,2,7,2,0,0,0,f7c65a6ab75a3a25,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,8,6,20,4,50,0.4,62.5,53.541668,0.333333,0.833333,2.708333,1285,257,65,1,3,1,4,8,0,0,0,0,f7c65a6ab75a3a25,BLAST Bounty 2025 Season 1
ultimate,76561198283989223,Liquid,22,1,11,7,31,2.0,91.666672,81.791664,0.916667,0.458333,0.125,1963,178,3,5,0,2,2,9,5,1,0,0,f7c65a6ab75a3a25,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,21,1,17,12,57,1.235294,66.666672,89.375,0.875,0.708333,7.666667,2145,432,184,2,3,4,4,9,3,2,0,0,f7c65a6ab75a3a25,BLAST Bounty 2025 Season 1
SunPayus,76561198309839541,HEROIC,20,9,14,9,45,1.428571,70.833328,87.916664,0.833333,0.583333,2.916667,2110,210,70,3,3,5,0,8,3,2,0,0,f7c65a6ab75a3a25,BLAST Bounty 2025 Season 1
NAF-FLY,76561198001151695,Liquid,9,7,14,5,55,0.642857,66.666672,61.541668,0.375,0.583333,7.416667,1477,226,178,1,1,2,2,5,2,0,0,0,f7c65a6ab75a3a25,BLAST Bounty 2025 Season 1
xfl0ud,76561198178209109,HEROIC,12,5,16,7,58,0.75,71.428574,75.14286,0.571429,0.761905,9.809524,1578,231,206,4,3,1,6,4,1,2,0,0,f92d463756d8334e,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,16,2,9,6,37,1.777778,90.476189,69.238098,0.761905,0.428571,2.714286,1454,225,57,2,1,5,3,3,3,1,1,0,f92d463756d8334e,BLAST Bounty 2025 Season 1
jks,76561197977105184,Liquid,9,7,18,4,44,0.5,71.428574,61.476189,0.428571,0.857143,10.904762,1291,192,229,1,3,0,5,6,0,1,0,0,f92d463756d8334e,BLAST Bounty 2025 Season 1
Twistzz,76561198016255205,Liquid,13,3,13,7,53,1.0,76.190475,63.285713,0.619048,0.619048,2.904762,1329,213,61,0,1,6,4,7,3,0,0,0,f92d463756d8334e,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,20,3,13,10,50,1.538462,90.476189,85.14286,0.952381,0.619048,1.857143,1788,163,39,1,1,5,4,5,5,0,0,1,f92d463756d8334e,BLAST Bounty 2025 Season 1
NertZ,76561198053126645,Liquid,15,1,16,7,46,0.9375,52.380955,68.952377,0.714286,0.761905,1.47619,1448,289,31,2,3,3,2,3,3,2,0,0,f92d463756d8334e,BLAST Bounty 2025 Season 1
SunPayus,76561198309839541,HEROIC,17,9,11,4,23,1.545455,85.714287,103.095238,0.809524,0.52381,1.761905,2165,193,37,4,2,3,3,4,5,1,0,0,f92d463756d8334e,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,10,6,14,5,50,0.714286,76.190475,55.809525,0.47619,0.666667,3.0,1172,196,63,0,3,3,4,4,3,0,0,0,f92d463756d8334e,BLAST Bounty 2025 Season 1
NAF-FLY,76561198001151695,Liquid,15,3,15,11,73,1.0,76.190475,80.952377,0.714286,0.714286,4.238095,1700,298,89,3,2,5,4,7,2,0,1,0,f92d463756d8334e,BLAST Bounty 2025 Season 1
ultimate,76561198283989223,Liquid,11,5,13,4,36,0.846154,71.428574,48.333332,0.52381,0.619048,3.333333,1015,78,70,4,2,2,4,4,2,1,0,0,f92d463756d8334e,BLAST Bounty 2025 Season 1
Twistzz,76561198016255205,HEROIC,18,6,15,10,55,1.2,87.5,84.791664,0.75,0.625,1.958333,2035,268,47,1,2,6,3,8,5,0,0,0,39ee7741554cb1d4,BLAST Bounty 2025 Season 1
ultimate,76561198283989223,HEROIC,14,6,19,4,28,0.736842,83.333328,59.541668,0.583333,0.791667,1.708333,1429,156,41,2,2,2,8,7,2,1,0,0,39ee7741554cb1d4,BLAST Bounty 2025 Season 1
jks,76561197977105184,HEROIC,9,6,15,5,55,0.6,83.333328,49.291668,0.375,0.625,4.833333,1183,219,116,1,6,2,5,7,1,0,0,0,39ee7741554cb1d4,BLAST Bounty 2025 Season 1
xfl0ud,76561198178209109,Liquid,16,6,17,4,25,0.941176,83.333328,73.0,0.666667,0.708333,7.083333,1752,291,170,6,3,5,5,10,3,0,0,0,39ee7741554cb1d4,BLAST Bounty 2025 Season 1
NertZ,76561198053126645,HEROIC,18,2,14,9,50,1.285714,66.666672,73.375,0.75,0.583333,2.5,1761,219,60,2,4,7,2,7,4,1,0,0,39ee7741554cb1d4,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,Liquid,19,7,14,12,63,1.357143,83.333328,87.291664,0.791667,0.583333,2.708333,2095,467,65,5,1,5,5,9,5,0,0,0,39ee7741554cb1d4,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,Liquid,14,9,14,11,78,1.0,79.166672,65.708336,0.583333,0.583333,1.75,1577,207,42,1,0,5,3,7,2,1,0,0,39ee7741554cb1d4,BLAST Bounty 2025 Season 1
SunPayus,76561198309839541,Liquid,17,7,14,5,29,1.214286,83.333328,69.166664,0.708333,0.583333,2.041667,1660,109,49,5,1,3,4,10,2,1,0,0,39ee7741554cb1d4,BLAST Bounty 2025 Season 1
NAF-FLY,76561198001151695,HEROIC,15,4,18,12,80,0.833333,75.0,80.791664,0.625,0.75,6.041667,1939,384,145,1,3,4,5,7,4,0,0,0,39ee7741554cb1d4,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,Liquid,15,4,15,10,66,1.0,79.166672,63.958332,0.625,0.625,1.0,1535,322,24,0,2,2,5,8,0,1,1,0,39ee7741554cb1d4,BLAST Bounty 2025 Season 1
ultimate,76561198283989223,Liquid,18,1,14,6,33,1.285714,59.090908,70.727272,0.818182,0.636364,3.772727,1556,168,83,2,1,3,1,8,2,2,0,0,278e073a204c8dd0,BLAST Bounty 2025 Season 1
alv,76561198036066702,9Pandas,12,5,14,3,25,0.857143,72.727272,53.272728,0.545455,0.636364,1.772727,1172,83,39,0,1,5,2,6,3,0,0,0,278e073a204c8dd0,BLAST Bounty 2025 Season 1
r3salt,76561198350362302,9Pandas,17,6,16,13,76,1.0625,68.181816,86.5,0.772727,0.727273,3.818182,1903,336,84,0,2,3,4,6,4,1,0,0,278e073a204c8dd0,BLAST Bounty 2025 Season 1
d1Ledez,76561198859428279,9Pandas,12,4,17,10,83,0.705882,63.636364,68.5,0.545455,0.772727,2.090909,1507,327,46,3,2,0,3,6,3,0,0,0,278e073a204c8dd0,BLAST Bounty 2025 Season 1
krad,76561198031908632,9Pandas,10,5,17,2,20,0.588235,68.181816,60.590908,0.454545,0.772727,5.681818,1333,127,125,4,4,1,5,5,1,1,0,0,278e073a204c8dd0,BLAST Bounty 2025 Season 1
NAF-FLY,76561198001151695,Liquid,12,9,12,8,66,1.0,81.818184,71.409088,0.545455,0.545455,5.909091,1571,280,130,0,2,3,2,8,2,0,0,0,278e073a204c8dd0,BLAST Bounty 2025 Season 1
shalfey,76561198365697700,9Pandas,15,5,16,10,66,0.9375,50.0,72.772728,0.681818,0.727273,4.454545,1601,312,98,3,3,4,1,4,4,1,0,0,278e073a204c8dd0,BLAST Bounty 2025 Season 1
Twistzz,76561198016255205,Liquid,16,4,13,8,50,1.230769,81.818184,68.227272,0.727273,0.590909,4.227273,1501,245,93,4,2,2,2,11,1,1,0,0,278e073a204c8dd0,BLAST Bounty 2025 Season 1
NertZ,76561198053126645,Liquid,19,6,13,15,78,1.461538,81.818184,102.727272,0.863636,0.590909,4.045455,2260,309,89,4,1,0,2,9,2,2,0,0,278e073a204c8dd0,BLAST Bounty 2025 Season 1
jks,76561197977105184,Liquid,15,7,14,10,66,1.071429,86.36364,71.13636,0.681818,0.636364,11.5,1565,223,253,2,4,1,3,5,3,0,1,0,278e073a204c8dd0,BLAST Bounty 2025 Season 1
Twistzz,76561198016255205,Liquid,13,8,15,3,23,0.866667,63.636364,73.86364,0.590909,0.681818,12.090909,1625,281,266,4,2,1,3,7,3,0,0,0,eb4903815cd684fd,BLAST Bounty 2025 Season 1
NAF-FLY,76561198001151695,Liquid,14,7,12,7,50,1.166667,81.818184,78.045456,0.636364,0.545455,3.0,1717,248,66,2,1,1,4,7,2,1,0,0,eb4903815cd684fd,BLAST Bounty 2025 Season 1
NertZ,76561198053126645,Liquid,17,9,14,7,41,1.214286,72.727272,99.318184,0.772727,0.636364,6.227273,2185,327,137,5,0,1,0,5,3,2,0,0,eb4903815cd684fd,BLAST Bounty 2025 Season 1
jks,76561197977105184,Liquid,23,3,7,14,60,3.285714,86.36364,98.090912,1.045455,0.318182,3.909091,2158,339,86,1,1,6,1,6,4,3,0,0,eb4903815cd684fd,BLAST Bounty 2025 Season 1
ultimate,76561198283989223,Liquid,12,3,13,4,33,0.923077,63.636364,52.0,0.545455,0.590909,1.454545,1144,43,32,2,4,0,2,8,2,0,0,0,eb4903815cd684fd,BLAST Bounty 2025 Season 1
d1Ledez,76561198859428279,9Pandas,13,5,16,6,46,0.8125,63.636364,81.227272,0.590909,0.727273,5.045455,1787,406,111,4,6,0,5,4,3,1,0,0,eb4903815cd684fd,BLAST Bounty 2025 Season 1
r3salt,76561198350362302,9Pandas,10,1,18,6,60,0.555556,54.545456,53.909092,0.454545,0.818182,3.136364,1186,248,69,0,3,1,3,4,3,0,0,0,eb4903815cd684fd,BLAST Bounty 2025 Season 1
alv,76561198036066702,9Pandas,14,2,15,7,50,0.933333,81.818184,57.954544,0.636364,0.681818,0.090909,1275,172,2,2,1,3,4,12,1,0,0,0,eb4903815cd684fd,BLAST Bounty 2025 Season 1
krad,76561198031908632,9Pandas,13,9,15,8,61,0.866667,68.181816,71.818184,0.590909,0.681818,5.954545,1580,268,131,2,1,6,2,9,0,0,1,0,eb4903815cd684fd,BLAST Bounty 2025 Season 1
shalfey,76561198365697700,9Pandas,11,2,15,5,45,0.733333,59.090908,53.31818,0.5,0.681818,0.818182,1173,137,18,0,3,1,1,7,2,0,0,0,eb4903815cd684fd,BLAST Bounty 2025 Season 1
Brollan,76561198138828475,MOUZ,31,4,21,9,29,1.47619,80.555557,82.416664,0.861111,0.583333,4.833333,2967,500,174,6,4,6,5,11,5,2,1,0,8099f5bd95004f24,BLAST Bounty 2025 Season 1
s1ren,76561198167785069,BetBoom Team,15,5,24,10,66,0.625,69.444443,46.805557,0.416667,0.666667,2.444444,1685,291,88,0,1,4,6,11,2,0,0,0,8099f5bd95004f24,BLAST Bounty 2025 Season 1
xertioN,76561198193174134,MOUZ,18,12,24,13,72,0.75,75.0,73.194443,0.5,0.666667,8.166667,2635,460,294,1,6,5,6,10,4,0,0,0,8099f5bd95004f24,BLAST Bounty 2025 Season 1
Boombl4,76561198146207066,BetBoom Team,19,9,26,4,21,0.730769,63.888889,71.583336,0.527778,0.722222,4.972222,2577,402,179,4,7,3,4,15,2,0,0,0,8099f5bd95004f24,BLAST Bounty 2025 Season 1
Magnojez,76561198372023214,BetBoom Team,23,3,27,15,65,0.851852,58.333332,60.944443,0.638889,0.75,5.444445,2194,372,196,5,5,8,5,10,2,3,0,0,8099f5bd95004f24,BLAST Bounty 2025 Season 1
Ax1Le,76561198045433304,BetBoom Team,25,15,27,15,60,0.925926,75.0,83.777779,0.694444,0.75,8.277778,3016,682,298,2,4,6,6,12,5,1,0,0,8099f5bd95004f24,BLAST Bounty 2025 Season 1
zorte,76561198059614402,BetBoom Team,23,7,24,7,30,0.958333,75.0,69.083336,0.638889,0.666667,4.027778,2487,186,145,5,3,4,8,10,5,1,0,0,8099f5bd95004f24,BLAST Bounty 2025 Season 1
Jimpphat,76561198855375325,MOUZ,29,8,19,20,68,1.526316,80.555557,87.25,0.805556,0.527778,8.694445,3141,607,313,1,0,6,2,8,8,2,0,0,8099f5bd95004f24,BLAST Bounty 2025 Season 1
torzsi,76561198355739212,MOUZ,24,3,19,5,20,1.263158,80.555557,65.805557,0.666667,0.527778,2.611111,2369,116,94,6,2,5,5,12,6,0,0,0,8099f5bd95004f24,BLAST Bounty 2025 Season 1
siuhy,76561198150673360,MOUZ,25,10,23,14,56,1.086957,86.111107,81.638885,0.694444,0.638889,4.611111,2939,530,166,6,4,2,9,10,6,1,0,0,8099f5bd95004f24,BLAST Bounty 2025 Season 1
zorte,76561198059614402,Team A,10,6,10,3,30,1.0,75.0,52.900002,0.5,0.5,0.5,1058,130,10,3,1,3,5,6,2,0,0,0,d53f2850c300c053,BLAST Bounty 2025 Season 1
siuhy,76561198150673360,Team B,11,2,13,6,54,0.846154,70.0,71.949997,0.55,0.65,3.75,1439,196,75,2,2,1,1,7,2,0,0,0,d53f2850c300c053,BLAST Bounty 2025 Season 1
Brollan,76561198138828475,Team B,7,7,15,4,57,0.466667,65.0,44.549999,0.35,0.75,1.05,891,140,21,0,3,2,3,7,0,0,0,0,d53f2850c300c053,BLAST Bounty 2025 Season 1
Magnojez,76561198372023214,Team A,15,9,12,12,80,1.25,90.0,98.650002,0.75,0.6,9.1,1973,339,182,1,2,2,2,9,2,1,0,0,d53f2850c300c053,BLAST Bounty 2025 Season 1
Boombl4,76561198146207066,Team A,13,7,14,5,38,0.928571,85.0,77.949997,0.65,0.7,1.4,1559,281,28,4,1,3,4,11,1,0,0,0,d53f2850c300c053,BLAST Bounty 2025 Season 1
s1ren,76561198167785069,Team A,8,3,10,4,50,0.8,80.0,36.349998,0.4,0.5,1.2,727,177,24,1,0,2,4,6,1,0,0,0,d53f2850c300c053,BLAST Bounty 2025 Season 1
xertioN,76561198193174134,Team B,17,2,14,13,76,1.214286,65.0,89.349998,0.85,0.7,2.45,1787,176,49,2,2,3,2,5,3,2,0,0,d53f2850c300c053,BLAST Bounty 2025 Season 1
Jimpphat,76561198855375325,Team B,7,3,15,6,85,0.466667,50.0,47.25,0.35,0.75,0.5,945,178,10,2,3,0,2,5,1,0,0,0,d53f2850c300c053,BLAST Bounty 2025 Season 1
torzsi,76561198355739212,Team B,12,5,13,6,50,0.923077,65.0,66.25,0.6,0.65,0.0,1325,149,0,2,2,2,1,6,3,0,0,0,d53f2850c300c053,BLAST Bounty 2025 Season 1
Ax1Le,76561198045433304,Team A,23,3,9,16,69,2.555556,75.0,110.449997,1.15,0.45,7.25,2209,419,145,3,4,7,3,5,5,0,2,0,d53f2850c300c053,BLAST Bounty 2025 Season 1
s1ren,76561198167785069,BetBoom Team,11,5,17,2,18,0.647059,64.0,54.400002,0.44,0.68,7.72,1360,202,193,3,1,1,3,7,2,0,0,0,fbf78c246823fe98,BLAST Bounty 2025 Season 1
Boombl4,76561198146207066,BetBoom Team,17,4,14,8,47,1.214286,72.0,79.239998,0.68,0.56,2.84,1981,280,71,1,2,4,2,4,2,3,0,0,fbf78c246823fe98,BLAST Bounty 2025 Season 1
Ax1Le,76561198045433304,BetBoom Team,21,4,16,11,52,1.3125,72.0,93.080002,0.84,0.64,2.16,2327,296,54,5,1,4,2,8,5,1,0,0,fbf78c246823fe98,BLAST Bounty 2025 Season 1
xertioN,76561198193174134,MOUZ,19,10,16,10,52,1.1875,84.0,88.639999,0.76,0.64,5.92,2216,300,148,2,3,5,5,7,3,2,0,0,fbf78c246823fe98,BLAST Bounty 2025 Season 1
Brollan,76561198138828475,MOUZ,10,5,22,5,50,0.454545,64.0,51.759998,0.4,0.88,2.32,1294,206,58,3,5,0,5,6,2,0,0,0,fbf78c246823fe98,BLAST Bounty 2025 Season 1
Magnojez,76561198372023214,BetBoom Team,22,10,18,14,63,1.222222,84.0,93.400002,0.88,0.72,3.28,2335,365,82,3,6,1,5,7,6,1,0,0,fbf78c246823fe98,BLAST Bounty 2025 Season 1
torzsi,76561198355739212,MOUZ,23,3,12,7,30,1.916667,84.0,83.160004,0.92,0.48,1.2,2079,142,30,2,1,3,2,9,4,2,0,0,fbf78c246823fe98,BLAST Bounty 2025 Season 1
Jimpphat,76561198855375325,MOUZ,19,3,14,11,57,1.357143,80.0,79.0,0.76,0.56,1.52,1975,242,38,2,2,6,3,12,2,1,0,0,fbf78c246823fe98,BLAST Bounty 2025 Season 1
