steamid,name,player_side,equipment_value,type,match_checksum,tournament
76561198355739212,torzsi,Counter Terrorist,3200,force-buy,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,1800,force-buy,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,1800,force-buy,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,2400,force-buy,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561199063238565,magixx,Terrorist,3150,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198081484775,sh1ro,Terrorist,3850,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198386265483,donk,Terrorist,4200,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,700,eco,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,200,eco,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198045898864,chopper,Terrorist,3350,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,300,eco,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,200,eco,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,200,eco,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561199063238565,magixx,Terrorist,3750,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198081484775,sh1ro,Terrorist,3800,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198386265483,donk,Terrorist,4700,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198995880877,zont1x,Terrorist,5100,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198995880877,zont1x,Terrorist,5100,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,4850,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,4750,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198045898864,chopper,Terrorist,3350,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,6550,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198081484775,sh1ro,Terrorist,4200,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,5450,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,5550,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561199063238565,magixx,Terrorist,4200,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198386265483,donk,Terrorist,5100,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,500,eco,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,1850,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,1750,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,2100,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198045898864,chopper,Terrorist,3350,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198081484775,sh1ro,Terrorist,5000,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198386265483,donk,Terrorist,5000,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198995880877,zont1x,Terrorist,5300,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,1950,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561199063238565,magixx,Terrorist,5400,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198081484775,sh1ro,Terrorist,5000,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198386265483,donk,Terrorist,5000,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198995880877,zont1x,Terrorist,5000,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,5050,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561199063238565,magixx,Terrorist,5600,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198045898864,chopper,Terrorist,3350,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,6450,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,5450,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,5950,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,5550,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,7450,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198386265483,donk,Terrorist,5100,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
