name,team,match_checksum,tournament
paiN,Team B,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
paiN,Team A,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
Natus Vincere,Team B,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
Natus Vincere,Team A,341d802e05c4673,BLAST Bounty 2025 Season 1 Finals
paiN,Team B,341d802e05c4673,BLAST Bounty 2025 Season 1 Finals
Natus Vincere,Team A,79792497772f19cb,BLAST Bounty 2025 Season 1 Finals
Team Spirit,Team B,79792497772f19cb,BLAST Bounty 2025 Season 1 Finals
Team Spirit,Team A,cf562d2195118fe,BLAST Bounty 2025 Season 1 Finals
Natus Vincere,Team B,cf562d2195118fe,BLAST Bounty 2025 Season 1 Finals
Team Spirit,Team A,6ff36ec1a9149902,BLAST Bounty 2025 Season 1 Finals
HEROIC,Team B,6ff36ec1a9149902,BLAST Bounty 2025 Season 1 Finals
Team A,Team A,74f1eea03072e6b4,BLAST Bounty 2025 Season 1 Finals
Team B,Team B,74f1eea03072e6b4,BLAST Bounty 2025 Season 1 Finals
Vitality,Team A,299d651349cc6962,BLAST Bounty 2025 Season 1 Finals
Eternal Fire,Team B,299d651349cc6962,BLAST Bounty 2025 Season 1 Finals
Team A,Team A,ad2b34ad0667c962,BLAST Bounty 2025 Season 1 Finals
Team B,Team B,ad2b34ad0667c962,BLAST Bounty 2025 Season 1 Finals
MOUZ,Team A,3d26344f17f13837,BLAST Premier World Final 2024
Astralis,Team B,3d26344f17f13837,BLAST Premier World Final 2024
Astralis,Team A,95b841ba110bc66,BLAST Premier World Final 2024
MOUZ,Team B,95b841ba110bc66,BLAST Premier World Final 2024
Spirit,Team A,d6a5da1b4e77c240,BLAST Premier World Final 2024
Astralis,Team B,d6a5da1b4e77c240,BLAST Premier World Final 2024
Spirit,Team A,b52e1d9753015e28,BLAST Premier World Final 2024
Astralis,Team B,b52e1d9753015e28,BLAST Premier World Final 2024
Astralis,Team A,4c63395b4c2d2672,BLAST Premier World Final 2024
Spirit,Team B,4c63395b4c2d2672,BLAST Premier World Final 2024
Spirit,Team A,c53128b26fc9081c,BLAST Premier World Final 2024
FaZe Clan,Team B,c53128b26fc9081c,BLAST Premier World Final 2024
Spirit,Team A,6bff0803deb724c0,BLAST Premier World Final 2024
FaZe Clan,Team B,6bff0803deb724c0,BLAST Premier World Final 2024
Liquid,Team A,44579bee3d97fc86,BLAST Premier World Final 2024
G2 Esports,Team B,44579bee3d97fc86,BLAST Premier World Final 2024
Liquid,Team A,387c0cf5e98d763b,BLAST Premier World Final 2024
G2 Esports,Team B,387c0cf5e98d763b,BLAST Premier World Final 2024
G2 Esports,Team A,96c7ccb4b0853c0,BLAST Premier World Final 2024
Liquid,Team B,96c7ccb4b0853c0,BLAST Premier World Final 2024
Spirit,Team A,58a332f9511c65a2,BLAST Premier World Final 2024
G2 Esports,Team B,58a332f9511c65a2,BLAST Premier World Final 2024
Spirit,Team A,428db1f9ec319bd3,BLAST Premier World Final 2024
G2 Esports,Team B,428db1f9ec319bd3,BLAST Premier World Final 2024
Spirit,Team A,803d577b3d7ccd7,BLAST Premier World Final 2024
G2 Esports,Team B,803d577b3d7ccd7,BLAST Premier World Final 2024
Spirit,Team A,7108f666509fa9d2,BLAST Premier World Final 2024
G2 Esports,Team B,7108f666509fa9d2,BLAST Premier World Final 2024
Spirit,Team A,94af43cd62a85e74,BLAST Premier World Final 2024
G2 Esports,Team B,94af43cd62a85e74,BLAST Premier World Final 2024
G2 Esports,Team A,afd99b702c5aafc4,BLAST Premier World Final 2024
Vitality,Team B,afd99b702c5aafc4,BLAST Premier World Final 2024
Vitality,Team A,5bb16082b6d7bf2b,BLAST Premier World Final 2024
G2 Esports,Team B,5bb16082b6d7bf2b,BLAST Premier World Final 2024
G2 Esports,Team A,8daa396e113e118c,BLAST Premier World Final 2024
Vitality,Team B,8daa396e113e118c,BLAST Premier World Final 2024
Liquid,Team A,6cd242073d19497b,BLAST Premier World Final 2024
Vitality,Team B,6cd242073d19497b,BLAST Premier World Final 2024
Liquid,Team A,c37ee9184f0fccf3,BLAST Premier World Final 2024
Vitality,Team B,c37ee9184f0fccf3,BLAST Premier World Final 2024
