name,steamid,team_name,kills,assists,deaths,headshots,hs_%,kd,kast,avg_damages_per_round,avg_kills_per_round,avg_death_per_round,utility_damage_per_round,health_damage,armor_damage,utility_damage,first_kill,first_death,trade_kill,trade_death,first_trade_kill,first_trade_death,1k,2k,3k,4k,5k,match_checksum,tournament
jottAAA,76561198410750263,Eternal Fire,13,8,18,10,76,0.722222,72.727272,78.818184,0.590909,0.818182,4.772727,1734,221,105,2,4,4,5,0,1,5,4,0,0,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,17,5,11,9,52,1.545455,86.36364,73.409088,0.772727,0.5,6.863636,1615,273,151,3,2,4,3,0,0,5,4,0,1,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,13,4,14,6,46,0.928571,77.272728,61.18182,0.590909,0.636364,1.636364,1346,134,36,2,1,3,2,0,1,1,6,0,0,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,23,3,12,18,78,1.916667,81.818184,97.545456,1.045455,0.545455,2.681818,2146,378,59,3,1,4,4,0,0,5,2,2,2,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,17,4,13,6,35,1.307692,81.818184,73.36364,0.772727,0.590909,5.136364,1614,124,113,2,1,6,1,0,0,6,2,1,1,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,Eternal Fire,13,6,20,7,53,0.65,66.666672,55.875,0.541667,0.833333,4.041667,1341,171,97,1,6,2,5,0,1,6,2,1,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,Eternal Fire,11,6,17,6,54,0.647059,75.0,56.041668,0.458333,0.708333,8.708333,1345,282,209,0,0,0,6,0,0,7,2,0,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,G2,20,5,16,10,50,1.25,83.333328,79.541664,0.833333,0.666667,1.708333,1909,245,41,2,1,3,4,0,1,9,4,1,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,G2,16,7,14,9,56,1.142857,70.833328,82.458336,0.666667,0.583333,3.708333,1979,353,89,1,3,4,1,0,0,8,4,0,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,G2,19,6,15,8,42,1.266667,83.333328,78.041664,0.791667,0.625,3.166667,1873,328,76,2,2,4,4,0,1,7,6,0,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,Eternal Fire,15,9,18,10,66,0.833333,70.833328,83.041664,0.625,0.75,0.0,1993,337,0,2,3,1,1,0,0,8,1,0,0,1,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,G2,17,4,13,5,29,1.307692,83.333328,82.041664,0.708333,0.541667,0.0,1969,209,0,3,0,1,4,0,0,10,0,1,1,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,G2,19,4,18,12,63,1.055556,66.666672,86.166664,0.791667,0.75,1.791667,2068,230,43,4,6,3,4,0,2,8,4,1,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
