steamid,name,player_side,equipment_value,type,round,match_checksum,tournament
76561198812513923,Wicadia,Terrorist,5100,full,3,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Counter Terrorist,5600,full,4,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Terrorist,5000,full,4,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Terrorist,5100,full,4,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Counter Terrorist,5800,full,4,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Terrorist,6750,full,4,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Terrorist,5000,full,4,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Counter Terrorist,4750,full,4,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Terrorist,5100,full,4,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Counter Terrorist,5400,full,4,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Counter Terrorist,7050,full,4,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Terrorist,4100,full,5,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Terrorist,6450,full,5,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Terrorist,2550,force-buy,5,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Counter Terrorist,7050,full,5,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Counter Terrorist,5200,full,5,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Terrorist,3900,force-buy,5,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Terrorist,2000,force-buy,5,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Counter Terrorist,5800,full,5,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Counter Terrorist,5800,full,5,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Counter Terrorist,5600,full,5,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Counter Terrorist,5600,full,6,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Terrorist,700,eco,6,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Terrorist,500,eco,6,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Counter Terrorist,5400,full,6,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Counter Terrorist,5800,full,6,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Counter Terrorist,7250,full,6,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Counter Terrorist,5400,full,6,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Terrorist,700,eco,6,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Terrorist,200,eco,6,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Terrorist,700,eco,6,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Counter Terrorist,5800,full,7,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Terrorist,6500,full,7,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Counter Terrorist,6100,full,7,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Terrorist,4300,full,7,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Terrorist,5100,full,7,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Counter Terrorist,5900,full,7,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Terrorist,4800,full,7,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Counter Terrorist,7250,full,7,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Counter Terrorist,5700,full,7,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Terrorist,4800,full,7,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Counter Terrorist,5400,full,8,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Counter Terrorist,5600,full,8,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Terrorist,5800,full,8,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Terrorist,1150,semi,8,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Counter Terrorist,7250,full,8,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Terrorist,4100,full,8,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Counter Terrorist,5500,full,8,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Counter Terrorist,6000,full,8,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Terrorist,2550,semi,8,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Terrorist,2550,semi,8,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Counter Terrorist,5800,full,9,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Terrorist,3550,force-buy,9,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Counter Terrorist,7350,full,9,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Counter Terrorist,6100,full,9,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Terrorist,3900,force-buy,9,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Terrorist,4800,full,9,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Terrorist,4600,full,9,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Counter Terrorist,5200,full,9,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Counter Terrorist,5600,full,9,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Terrorist,5000,full,9,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Terrorist,4700,full,10,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Counter Terrorist,5600,full,10,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Terrorist,4100,full,10,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Terrorist,4200,full,10,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Counter Terrorist,5600,full,10,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Terrorist,5000,full,10,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Counter Terrorist,7750,full,10,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Counter Terrorist,6100,full,10,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Terrorist,4200,full,10,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Counter Terrorist,5700,full,10,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Terrorist,4600,full,11,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Counter Terrorist,5800,full,11,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Terrorist,3450,semi,11,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Counter Terrorist,5800,full,11,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Terrorist,3350,semi,11,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Counter Terrorist,7950,full,11,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Counter Terrorist,5800,full,11,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Terrorist,4800,full,11,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Terrorist,5100,full,11,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Counter Terrorist,5800,full,11,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Terrorist,3700,force-buy,12,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Counter Terrorist,7950,full,12,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Counter Terrorist,5600,full,12,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Terrorist,4200,full,12,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Terrorist,3900,force-buy,12,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Counter Terrorist,5900,full,12,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Terrorist,4400,full,12,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Counter Terrorist,8150,full,12,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Terrorist,5100,full,12,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Counter Terrorist,5800,full,12,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Counter Terrorist,950,pistol,13,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Counter Terrorist,950,pistol,13,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Counter Terrorist,850,pistol,13,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Counter Terrorist,400,pistol,13,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Terrorist,800,pistol,13,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Terrorist,1150,pistol,13,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Counter Terrorist,850,pistol,13,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Terrorist,900,pistol,13,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Terrorist,850,pistol,13,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Terrorist,1150,pistol,13,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Counter Terrorist,2450,force-buy,14,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Terrorist,3450,semi,14,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Terrorist,3450,semi,14,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Counter Terrorist,2100,force-buy,14,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Terrorist,4200,full,14,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Terrorist,4000,full,14,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Terrorist,4200,full,14,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Counter Terrorist,2450,force-buy,14,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Counter Terrorist,2450,force-buy,14,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Counter Terrorist,2100,force-buy,14,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Counter Terrorist,4900,full,15,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Terrorist,4200,full,15,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Counter Terrorist,2100,semi,15,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Terrorist,3450,semi,15,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Terrorist,4200,full,15,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Counter Terrorist,2700,force-buy,15,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Counter Terrorist,2750,force-buy,15,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Terrorist,5000,full,15,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Counter Terrorist,1000,eco,15,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Terrorist,5100,full,15,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Counter Terrorist,5800,full,16,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Terrorist,3250,force-buy,16,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Counter Terrorist,5250,full,16,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Counter Terrorist,4950,full,16,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Terrorist,4600,full,16,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Terrorist,5100,full,16,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Counter Terrorist,4050,semi,16,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Counter Terrorist,3450,semi,16,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Terrorist,5000,full,16,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Terrorist,4800,full,16,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Terrorist,5300,full,17,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Counter Terrorist,2950,force-buy,17,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Terrorist,4200,full,17,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Counter Terrorist,4450,force-buy,17,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Counter Terrorist,5100,full,17,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Terrorist,3350,semi,17,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Counter Terrorist,5150,full,17,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Terrorist,5100,full,17,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Terrorist,5100,full,17,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Counter Terrorist,2700,force-buy,17,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Counter Terrorist,5800,full,18,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Terrorist,3200,force-buy,18,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Terrorist,1800,force-buy,18,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Terrorist,3700,force-buy,18,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Terrorist,3000,force-buy,18,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Counter Terrorist,5100,full,18,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Counter Terrorist,5800,full,18,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Counter Terrorist,5400,full,18,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Terrorist,1650,force-buy,18,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Counter Terrorist,5800,full,18,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Counter Terrorist,5700,full,19,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Terrorist,200,eco,19,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Counter Terrorist,5100,full,19,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Counter Terrorist,5800,full,19,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Counter Terrorist,5800,full,19,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Terrorist,200,eco,19,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Terrorist,700,eco,19,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Counter Terrorist,5600,full,19,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Terrorist,400,eco,19,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Terrorist,200,eco,19,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Terrorist,4600,full,20,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Counter Terrorist,5800,full,20,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Counter Terrorist,5600,full,20,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Terrorist,5000,full,20,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Counter Terrorist,7650,full,20,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Counter Terrorist,7750,full,20,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Terrorist,4600,full,20,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Terrorist,5100,full,20,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Counter Terrorist,5600,full,20,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Terrorist,5100,full,20,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Terrorist,3900,semi,21,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Counter Terrorist,5600,full,21,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Counter Terrorist,5600,full,21,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Terrorist,1850,semi,21,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Terrorist,1850,semi,21,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Counter Terrorist,7550,full,21,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Counter Terrorist,5800,full,21,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Terrorist,1850,semi,21,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Terrorist,1850,semi,21,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Counter Terrorist,5700,full,21,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Counter Terrorist,5800,full,22,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198045898864,chopper,Terrorist,5000,full,22,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Terrorist,5100,full,22,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Counter Terrorist,7950,full,22,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Counter Terrorist,7550,full,22,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Terrorist,5100,full,22,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Terrorist,5100,full,22,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Counter Terrorist,5600,full,22,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Counter Terrorist,5800,full,22,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198081484775,sh1ro,Terrorist,5000,full,22,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198386265483,donk,Terrorist,4200,full,23,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198044118796,XANTARES,Counter Terrorist,5400,full,23,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198995880877,zont1x,Terrorist,1150,semi,23,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198083485506,woxic,Counter Terrorist,7850,full,23,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561197967432889,MAJ3R,Counter Terrorist,5800,full,23,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561199063238565,magixx,Terrorist,2050,semi,23,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198410750263,jottAAA,Counter Terrorist,5600,full,23,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
76561198812513923,Wicadia,Counter Terrorist,5600,full,23,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
