root,url,url_event,tournament,nspc_tournament,match_id,url_request,direct_url_demo,file_name,demo_path,output_data_path
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379344/falcons-vs-astralis-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94337,https://www.hltv.org/download/demo/94337,https://r2-demos.hltv.org/demos/112065/pgl-cluj-napoca-2025-falcons-vs-astralis-bo3-Il9a8tIkL2aUxPfQEHm2Ld.rar,pgl-cluj-napoca-2025-falcons-vs-astralis-bo3-Il9a8tIkL2aUxPfQEHm2Ld.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379345/wildcard-vs-virtuspro-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94335,https://www.hltv.org/download/demo/94335,https://r2-demos.hltv.org/demos/112063/pgl-cluj-napoca-2025-wildcard-vs-virtuspro-bo3-jIQjmeC_CatWQKY1yOPGBx.rar,pgl-cluj-napoca-2025-wildcard-vs-virtuspro-bo3-jIQjmeC_CatWQKY1yOPGBx.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379342/eternal-fire-vs-big-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94333,https://www.hltv.org/download/demo/94333,https://r2-demos.hltv.org/demos/112062/pgl-cluj-napoca-2025-eternal-fire-vs-big-bo3-P63EaSrXNik5P5bpu5_ZME.rar,pgl-cluj-napoca-2025-eternal-fire-vs-big-bo3-P63EaSrXNik5P5bpu5_ZME.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379343/3dmax-vs-mibr-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94332,https://www.hltv.org/download/demo/94332,https://r2-demos.hltv.org/demos/112061/pgl-cluj-napoca-2025-3dmax-vs-mibr-bo3-3dcjaAyO4S7Qp9OIwr_k38.rar,pgl-cluj-napoca-2025-3dmax-vs-mibr-bo3-3dcjaAyO4S7Qp9OIwr_k38.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379340/falcons-vs-pain-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94320,https://www.hltv.org/download/demo/94320,https://r2-demos.hltv.org/demos/112047/pgl-cluj-napoca-2025-falcons-vs-pain-bo3-DhG6STeiTa5DwP1i3MA5ja.rar,pgl-cluj-napoca-2025-falcons-vs-pain-bo3-DhG6STeiTa5DwP1i3MA5ja.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379341/saw-vs-astralis-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94313,https://www.hltv.org/download/demo/94313,https://r2-demos.hltv.org/demos/112041/pgl-cluj-napoca-2025-saw-vs-astralis-bo3-EODMWztd79YjpTGWlYt9Iv.rar,pgl-cluj-napoca-2025-saw-vs-astralis-bo3-EODMWztd79YjpTGWlYt9Iv.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379338/faze-vs-eternal-fire-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94310,https://www.hltv.org/download/demo/94310,https://r2-demos.hltv.org/demos/112036/pgl-cluj-napoca-2025-faze-vs-eternal-fire-bo3-CJ-L_HyUe_YeaiHjQ-Zqtb.rar,pgl-cluj-napoca-2025-faze-vs-eternal-fire-bo3-CJ-L_HyUe_YeaiHjQ-Zqtb.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379339/mibr-vs-imperial-valkyries-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94305,https://www.hltv.org/download/demo/94305,https://r2-demos.hltv.org/demos/112032/pgl-cluj-napoca-2025-mibr-vs-imperial-valkyries-bo3-ya943VXrH5IEkxTGDqlXSn.rar,pgl-cluj-napoca-2025-mibr-vs-imperial-valkyries-bo3-ya943VXrH5IEkxTGDqlXSn.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379337/complexity-vs-virtuspro-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94302,https://www.hltv.org/download/demo/94302,https://r2-demos.hltv.org/demos/112029/pgl-cluj-napoca-2025-complexity-vs-virtuspro-bo3-vrjThNCs9-hR8Oe-Eu4uoC.rar,pgl-cluj-napoca-2025-complexity-vs-virtuspro-bo3-vrjThNCs9-hR8Oe-Eu4uoC.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
c:\cs2-match-and-player-scraper\ExtractMatchData,https://www.hltv.org/matches/2379336/the-mongolz-vs-wildcard-pgl-cluj-napoca-2025,https://www.hltv.org/results?event=8043,PGL Cluj-Napoca 2025,pgl-cluj-napoca-2025,94301,https://www.hltv.org/download/demo/94301,https://r2-demos.hltv.org/demos/112028/pgl-cluj-napoca-2025-the-mongolz-vs-wildcard-bo3-uN17z6hpzkXaSff9BDiAdT.rar,pgl-cluj-napoca-2025-the-mongolz-vs-wildcard-bo3-uN17z6hpzkXaSff9BDiAdT.rar,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\unpacked_demos\PGL Cluj-Napoca 2025,c:\cs2-match-and-player-scraper\ExtractMatchData\downloads\extracted_data\PGL Cluj-Napoca 2025
