team_name,team_page,player_name,player_country,player_nick,player_hltv_url,photo_player,player_flag,photo_player_path,player_flag_path
FaZe,https://www.hltv.org/team/6667/faze,Helvijs 'broky' Saukants,Latvia,broky,https://www.hltv.org/player/18053/broky,https://img-cdn.hltv.org/playerbodyshot/s8WJZpMPv0YBCr9l8rXJT4.png?ixlib=java-2.1.0&w=400&s=451b9fa69a6d7bf382a975638f274f24,https://www.hltv.org/img/static/flags/30x20/LV.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\faze-broky.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\latvia.png
The MongolZ,https://www.hltv.org/team/6248/the-mongolz,Garidmagnai 'bLitz' Byambasuren,Mongolia,bLitz,https://www.hltv.org/player/20194/blitz,https://img-cdn.hltv.org/playerbodyshot/OyPvTCirqQ7is_UZ9IN2pP.png?ixlib=java-2.1.0&w=400&s=77ff7bd25b0c292f7cee0eb9ba5d0499,https://www.hltv.org/img/static/flags/30x20/MN.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\the-mongolz-bLitz.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\mongolia.png
The MongolZ,https://www.hltv.org/team/6248/the-mongolz,Sodbayar 'Techno' Munkhbold,Mongolia,Techno,https://www.hltv.org/player/20275/techno,https://img-cdn.hltv.org/playerbodyshot/3sR-yy7Qs0QYxLMdTtx44Y.png?ixlib=java-2.1.0&w=400&s=c914b7a76d4ab4c597ef0f225022d42e,https://www.hltv.org/img/static/flags/30x20/MN.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\the-mongolz-Techno.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\mongolia.png
The MongolZ,https://www.hltv.org/team/6248/the-mongolz,Munkhbold 'Senzu' Azbayar,Mongolia,Senzu,https://www.hltv.org/player/20903/senzu,https://img-cdn.hltv.org/playerbodyshot/213AxOZRlLDinO46k8DW59.png?ixlib=java-2.1.0&w=400&s=a03fd60a12d3d436f5804a7bc9904948,https://www.hltv.org/img/static/flags/30x20/MN.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\the-mongolz-Senzu.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\mongolia.png
The MongolZ,https://www.hltv.org/team/6248/the-mongolz,Ayush 'mzinho' Batbold,Mongolia,mzinho,https://www.hltv.org/player/21001/mzinho,https://img-cdn.hltv.org/playerbodyshot/6sZB598_QrrMNWIO-h0-OT.png?ixlib=java-2.1.0&w=400&s=9a5746940a6c831eedf4b5f97e78790b,https://www.hltv.org/img/static/flags/30x20/MN.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\the-mongolz-mzinho.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\mongolia.png
The MongolZ,https://www.hltv.org/team/6248/the-mongolz,Usukhbayar '910' Banzragch,Mongolia,910,https://www.hltv.org/player/21809/910,https://img-cdn.hltv.org/playerbodyshot/L6iR03jTU2VKawIELAAc3I.png?ixlib=java-2.1.0&w=400&s=a36a166a9a3f676f4167a39b73e19367,https://www.hltv.org/img/static/flags/30x20/MN.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\the-mongolz-910.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\mongolia.png
MOUZ,https://www.hltv.org/team/4494/mouz,Ludvig 'Brollan' Brolin,Sweden,Brollan,https://www.hltv.org/player/13666/brollan,https://img-cdn.hltv.org/playerbodyshot/fwSkBoOcV8xiLVQPur2A2-.png?ixlib=java-2.1.0&w=400&s=b4d87ed893b447ea7142e4bcbc9d64be,https://www.hltv.org/img/static/flags/30x20/SE.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\mouz-Brollan.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\sweden.png
MOUZ,https://www.hltv.org/team/4494/mouz,Ádám 'torzsi' Torzsás,Hungary,torzsi,https://www.hltv.org/player/18072/torzsi,https://img-cdn.hltv.org/playerbodyshot/XkUoqNBGadjbfzfNHFU-Tr.png?ixlib=java-2.1.0&w=400&s=5af611bfb0c9f5bc7b72b38541410be0,https://www.hltv.org/img/static/flags/30x20/HU.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\mouz-torzsi.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\hungary.png
MOUZ,https://www.hltv.org/team/4494/mouz,Lotan 'Spinx' Giladi,Israel,Spinx,https://www.hltv.org/player/18221/spinx,https://img-cdn.hltv.org/playerbodyshot/Im_6f6wuw8qxNFACxoAIYI.png?ixlib=java-2.1.0&w=400&s=48583ec96ec712ebf08bc6d530800bad,https://www.hltv.org/img/static/flags/30x20/IL.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\mouz-Spinx.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\israel.png
MOUZ,https://www.hltv.org/team/4494/mouz,Jimi 'Jimpphat' Salo,Finland,Jimpphat,https://www.hltv.org/player/18850/jimpphat,https://img-cdn.hltv.org/playerbodyshot/SdQDBTXpmzcHCZBF1RWRtK.png?ixlib=java-2.1.0&w=400&s=f69e53ecd0b4d2e5f80017ad01518538,https://www.hltv.org/img/static/flags/30x20/FI.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\mouz-Jimpphat.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\finland.png
